"id","projectId","surveyNumber","village","taluk","district","state","area","landType","ownershipType","lat","lng","acquisitionStatus","compensationStatus","possessionStatus","rrStatus","ownerCount"
"LP-0139-GJ","PRJ-030","287/3A","Kodiveri","Chorasi","Surat","Gujarat","11.85","Garden Land","Wakf","21.25041","73.0202","Notified","Assessed","Pending","Eligible","4"
"LP-0140-GJ","PRJ-030","18/8B","Melmaruvathur","Chorasi","Surat","Gujarat","11.85","Wetland","Inam","21.3413","73.0104","Proposed","Not Started","Pending","Eligible","4"
"LP-0141-GJ","PRJ-030","184/4B","Nallur","Chorasi","Surat","Gujarat","11.85","Wetland","Inam","21.09497","72.69766","Pending","Not Started","Pending","Eligible","4"
"LP-0142-MH","PRJ-031","483/5B","Sulthanpet","Haveli","Pune","Maharashtra","3.02","Commercial","Private Patta","18.70189","73.70905","Notified","Assessed","Pending","Eligible","1"
"LP-0143-MH","PRJ-031","304/8B","Keeladi","Haveli","Pune","Maharashtra","3.02","Commercial","Inam","18.6224","73.76408","Acquired","Fully Paid","Handover Completed","In Progress","4"
"LP-0144-MH","PRJ-031","250/3B","Pazhaverkadu","Haveli","Pune","Maharashtra","3.02","Wetland","Assigned","18.68157","73.79907","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0145-MH","PRJ-031","216/8A","Nallur","Haveli","Pune","Maharashtra","3.02","Dry Land","Temple Land","18.36055","74.04087","Acquired","Fully Paid","Handover Completed","In Progress","2"
"LP-0146-MH","PRJ-032","102/7A","Pazhaverkadu","Mumbai Suburban","Mumbai","Maharashtra","16.98","Dry Land","Government","19.02795","72.87544","Notified","Assessed","Pending","Eligible","2"
"LP-0147-MH","PRJ-032","565/1B","Therkku Poigainallur","Mumbai Suburban","Mumbai","Maharashtra","16.98","Residential","Private Patta","18.98019","72.86091","Proposed","Not Started","Pending","Eligible","1"
"LP-0148-MH","PRJ-032","206/5B","Kodiveri","Mumbai Suburban","Mumbai","Maharashtra","16.98","Dry Land","Inam","18.94024","73.00354","Pending","Not Started","Pending","Eligible","1"
"LP-0149-MH","PRJ-032","207/4B","Keeladi","Mumbai Suburban","Mumbai","Maharashtra","16.98","Wetland","Inam","18.97474","72.9684","Proposed","Not Started","Pending","Eligible","2"
"LP-0150-MH","PRJ-032","92/3B","Alampatti","Mumbai Suburban","Mumbai","Maharashtra","16.98","Poramboke","Inam","18.9916","72.96341","Proposed","Not Started","Pending","Eligible","1"
"LP-0151-TN","PRJ-033","136/2B","Nallur","Coimbatore North","Coimbatore","Tamil Nadu","15.38","Commercial","Government","11.06875","77.00835","Notified","Assessed","Pending","Eligible","1"
"LP-0152-TN","PRJ-033","477/4B","Keeladi","Coimbatore North","Coimbatore","Tamil Nadu","15.38","Poramboke","Assigned","11.15253","76.80382","Proposed","Not Started","Pending","Eligible","5"
"LP-0153-TN","PRJ-033","145/8A","Devikapuram","Coimbatore North","Coimbatore","Tamil Nadu","15.38","Residential","Inam","10.82716","76.97192","Pending","Not Started","Pending","Eligible","1"
"LP-0154-TN","PRJ-033","174/6A","Kallidaikurichi","Coimbatore North","Coimbatore","Tamil Nadu","15.38","Poramboke","Private Patta","11.17301","77.13074","Pending","Not Started","Pending","Eligible","3"
"LP-0155-TN","PRJ-033","577/6A","Melmaruvathur","Coimbatore North","Coimbatore","Tamil Nadu","15.38","Poramboke","Private Patta","11.03968","76.80227","Proposed","Not Started","Pending","Eligible","5"
"LP-0156-TN","PRJ-034","557/1A","Manamadurai","Coimbatore North","Coimbatore","Tamil Nadu","4.57","Wetland","Private Patta","11.06696","76.98548","Acquired","Fully Paid","Handover Completed","In Progress","4"
"LP-0157-TN","PRJ-034","209/4B","Kottur","Coimbatore North","Coimbatore","Tamil Nadu","4.57","Wetland","Assigned","11.13042","76.84615","Acquired","Fully Paid","Handover Completed","In Progress","4"
"LP-0158-TN","PRJ-034","485/3B","Thenkudi","Coimbatore North","Coimbatore","Tamil Nadu","4.57","Poramboke","Private Patta","11.15989","77.06255","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0159-MH","PRJ-035","485/2B","Keeladi","Haveli","Pune","Maharashtra","8.22","Dry Land","Temple Land","18.60143","73.83829","Disputed","Not Started","Pending","Eligible","3"
"LP-0160-MH","PRJ-035","134/5B","Kottur","Haveli","Pune","Maharashtra","8.22","Commercial","Inam","18.52785","73.77991","Acquired","Fully Paid","Handover Completed","In Progress","2"
"LP-0161-MH","PRJ-035","334/3A","Kallidaikurichi","Haveli","Pune","Maharashtra","8.22","Garden Land","Private Patta","18.4264","73.95098","Notified","Assessed","Pending","Eligible","5"
"LP-0162-MH","PRJ-035","323/1A","Manamadurai","Haveli","Pune","Maharashtra","8.22","Wetland","Inam","18.48227","74.01647","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0163-MH","PRJ-036","573/3B","Pazhaverkadu","Haveli","Pune","Maharashtra","15.47","Garden Land","Inam","18.67806","73.85176","Notified","Assessed","Pending","Eligible","1"
"LP-0164-MH","PRJ-036","218/4B","Melmaruvathur","Haveli","Pune","Maharashtra","15.47","Residential","Wakf","18.40341","73.92931","Acquired","Fully Paid","Handover Completed","In Progress","4"
"LP-0165-MH","PRJ-036","191/1A","Melmaruvathur","Haveli","Pune","Maharashtra","15.47","Wetland","Inam","18.48701","74.03893","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0166-MH","PRJ-037","429/5A","Pazhaverkadu","Haveli","Pune","Maharashtra","9.46","Poramboke","Assigned","18.38122","73.76344","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0167-MH","PRJ-037","310/5B","Nallur","Haveli","Pune","Maharashtra","9.46","Dry Land","Temple Land","18.40601","73.8585","Acquired","Fully Paid","Handover Completed","In Progress","2"
"LP-0168-MH","PRJ-037","410/2B","Kottur","Haveli","Pune","Maharashtra","9.46","Poramboke","Wakf","18.63194","73.75037","Acquired","Fully Paid","Handover Completed","In Progress","2"
"LP-0169-MH","PRJ-037","476/3A","Kodiveri","Haveli","Pune","Maharashtra","9.46","Garden Land","Private Patta","18.42327","73.958","Acquired","Fully Paid","Handover Completed","In Progress","1"
"LP-0170-MH","PRJ-037","60/8A","Kallidaikurichi","Haveli","Pune","Maharashtra","9.46","Residential","Temple Land","18.63379","73.8109","Acquired","Fully Paid","Handover Completed","In Progress","4"
"LP-0171-MH","PRJ-037","310/6A","Sulthanpet","Haveli","Pune","Maharashtra","9.46","Commercial","Temple Land","18.32593","73.74762","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0172-MH","PRJ-037","571/8B","Thenkudi","Haveli","Pune","Maharashtra","9.46","Poramboke","Government","18.42934","73.74792","Acquired","Fully Paid","Handover Completed","In Progress","2"
"LP-0173-UP","PRJ-038","262/5A","Thenkudi","Sarojini Nagar","Lucknow","Uttar Pradesh","17.9","Dry Land","Inam","26.74949","81.01316","Acquired","Fully Paid","Handover Completed","In Progress","4"
"LP-0174-UP","PRJ-038","51/3B","Manamadurai","Sarojini Nagar","Lucknow","Uttar Pradesh","17.9","Wetland","Assigned","26.99788","81.11058","Acquired","Fully Paid","Handover Completed","In Progress","1"
"LP-0175-UP","PRJ-038","283/6A","Kottur","Sarojini Nagar","Lucknow","Uttar Pradesh","17.9","Dry Land","Wakf","26.99987","80.93787","Notified","Assessed","Pending","Eligible","5"
"LP-0176-TN","PRJ-039","562/3A","Alampatti","Guindy","Chennai","Tamil Nadu","12.5","Poramboke","Private Patta","13.27752","80.17092","Acquired","Fully Paid","Handover Completed","Completed","2"
"LP-0177-TN","PRJ-039","229/5A","Vadakkukarai","Guindy","Chennai","Tamil Nadu","12.5","Commercial","Private Patta","13.13359","80.26842","Acquired","Fully Paid","Handover Completed","Completed","2"
"LP-0178-TN","PRJ-039","250/8B","Melmaruvathur","Guindy","Chennai","Tamil Nadu","12.5","Wetland","Assigned","13.07016","80.24204","Acquired","Fully Paid","Handover Completed","Completed","2"
"LP-0179-TN","PRJ-039","502/8B","Melmaruvathur","Guindy","Chennai","Tamil Nadu","12.5","Commercial","Wakf","12.8942","80.16402","Acquired","Fully Paid","Handover Completed","Completed","2"
"LP-0180-TN","PRJ-039","495/6A","Devikapuram","Guindy","Chennai","Tamil Nadu","12.5","Residential","Wakf","13.28149","80.09003","Acquired","Fully Paid","Handover Completed","Completed","4"
"LP-0181-TN","PRJ-039","500/6A","Melmaruvathur","Guindy","Chennai","Tamil Nadu","12.5","Poramboke","Assigned","13.24304","80.10959","Acquired","Fully Paid","Handover Completed","Completed","4"
"LP-0182-TN","PRJ-039","597/8A","Keeladi","Guindy","Chennai","Tamil Nadu","12.5","Wetland","Private Patta","13.16638","80.13138","Acquired","Fully Paid","Handover Completed","Completed","2"
"LP-0183-TN","PRJ-040","139/7A","Vadakkukarai","Coimbatore North","Coimbatore","Tamil Nadu","9.55","Garden Land","Temple Land","10.96922","76.88713","Pending","Not Started","Pending","Eligible","3"
"LP-0184-TN","PRJ-040","341/2B","Keeladi","Coimbatore North","Coimbatore","Tamil Nadu","9.55","Residential","Private Patta","10.98073","77.12661","Pending","Not Started","Pending","Eligible","4"
"LP-0185-TN","PRJ-040","56/5A","Kodiveri","Coimbatore North","Coimbatore","Tamil Nadu","9.55","Commercial","Temple Land","11.20619","76.75967","Proposed","Not Started","Pending","Eligible","1"
"LP-0186-TN","PRJ-040","348/3B","Thenkudi","Coimbatore North","Coimbatore","Tamil Nadu","9.55","Garden Land","Inam","11.02156","76.83033","Proposed","Not Started","Pending","Eligible","1"
"LP-0187-UP","PRJ-041","562/8B","Vadakkukarai","Sarojini Nagar","Lucknow","Uttar Pradesh","4.2","Commercial","Private Patta","26.72714","80.81715","Notified","Assessed","Pending","Eligible","3"
"LP-0188-UP","PRJ-041","318/3B","Keezhkattalai","Sarojini Nagar","Lucknow","Uttar Pradesh","4.2","Commercial","Assigned","26.87898","81.02031","Notified","Assessed","Pending","Eligible","2"
"LP-0189-UP","PRJ-041","116/5A","Pazhaverkadu","Sarojini Nagar","Lucknow","Uttar Pradesh","4.2","Dry Land","Inam","27.02878","81.04551","Acquired","Fully Paid","Handover Completed","In Progress","2"
"LP-0190-MH","PRJ-042","124/7B","Thenkudi","Haveli","Pune","Maharashtra","8.12","Garden Land","Private Patta","18.7199","73.72942","Acquired","Fully Paid","Handover Completed","In Progress","4"
"LP-0191-MH","PRJ-042","226/5B","Kallidaikurichi","Haveli","Pune","Maharashtra","8.12","Commercial","Inam","18.41125","73.97043","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0192-MH","PRJ-042","463/8B","Pazhaverkadu","Haveli","Pune","Maharashtra","8.12","Commercial","Temple Land","18.68847","74.05465","Notified","Assessed","Pending","Eligible","3"
"LP-0193-MH","PRJ-042","131/5B","Keeladi","Haveli","Pune","Maharashtra","8.12","Commercial","Inam","18.62541","73.66003","Notified","Assessed","Pending","Eligible","2"
"LP-0194-TN","PRJ-043","173/4B","Melmaruvathur","Coimbatore North","Coimbatore","Tamil Nadu","12.53","Garden Land","Temple Land","10.90664","76.92276","Acquired","Fully Paid","Handover Completed","Completed","4"
"LP-0195-TN","PRJ-043","417/4A","Sulthanpet","Coimbatore North","Coimbatore","Tamil Nadu","12.53","Poramboke","Government","11.21063","76.95005","Acquired","Fully Paid","Handover Completed","Completed","3"
"LP-0196-TN","PRJ-043","206/6B","Manamadurai","Coimbatore North","Coimbatore","Tamil Nadu","12.53","Poramboke","Assigned","11.1412","76.80449","Acquired","Fully Paid","Handover Completed","Completed","2"
"LP-0197-UP","PRJ-044","140/5A","Kodiveri","Sarojini Nagar","Lucknow","Uttar Pradesh","14.95","Garden Land","Inam","26.95356","80.79351","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0198-UP","PRJ-044","267/2A","Kottur","Sarojini Nagar","Lucknow","Uttar Pradesh","14.95","Garden Land","Temple Land","26.74504","81.12412","Acquired","Fully Paid","Handover Completed","In Progress","1"
"LP-0199-UP","PRJ-044","229/3A","Sulthanpet","Sarojini Nagar","Lucknow","Uttar Pradesh","14.95","Garden Land","Assigned","27.01412","80.7762","Acquired","Fully Paid","Handover Completed","In Progress","2"
"LP-0200-UP","PRJ-044","195/8B","Vadakkukarai","Sarojini Nagar","Lucknow","Uttar Pradesh","14.95","Poramboke","Government","26.94382","81.05294","Notified","Assessed","Pending","Eligible","5"
"LP-0201-UP","PRJ-044","103/3A","Keezhkattalai","Sarojini Nagar","Lucknow","Uttar Pradesh","14.95","Dry Land","Private Patta","27.00804","80.98938","Acquired","Fully Paid","Handover Completed","In Progress","2"
"LP-0202-UP","PRJ-044","467/1A","Nallur","Sarojini Nagar","Lucknow","Uttar Pradesh","14.95","Residential","Wakf","26.85969","81.07161","Acquired","Fully Paid","Handover Completed","In Progress","1"
"LP-0203-TN","PRJ-045","53/1A","Devikapuram","Guindy","Chennai","Tamil Nadu","14.16","Poramboke","Temple Land","13.05552","80.41411","Disputed","Not Started","Pending","Eligible","5"
"LP-0204-TN","PRJ-045","500/7B","Pazhaverkadu","Guindy","Chennai","Tamil Nadu","14.16","Poramboke","Inam","13.09606","80.22938","Notified","Assessed","Pending","Eligible","2"
"LP-0205-TN","PRJ-045","519/6A","Kallidaikurichi","Guindy","Chennai","Tamil Nadu","14.16","Poramboke","Private Patta","13.13709","80.3143","Pending","Not Started","Pending","Eligible","4"
"LP-0206-TN","PRJ-045","546/7A","Kottur","Guindy","Chennai","Tamil Nadu","14.16","Dry Land","Assigned","13.13518","80.36688","Pending","Not Started","Pending","Eligible","2"
"LP-0207-TN","PRJ-045","303/7A","Pazhaverkadu","Guindy","Chennai","Tamil Nadu","14.16","Poramboke","Assigned","13.08066","80.44671","Notified","Assessed","Pending","Eligible","1"
"LP-0208-UP","PRJ-046","428/2A","Sulthanpet","Sarojini Nagar","Lucknow","Uttar Pradesh","9.57","Residential","Temple Land","26.78958","80.87734","Acquired","Fully Paid","Handover Completed","Completed","5"
"LP-0209-UP","PRJ-046","418/1A","Melmaruvathur","Sarojini Nagar","Lucknow","Uttar Pradesh","9.57","Dry Land","Government","26.94446","80.97683","Acquired","Fully Paid","Handover Completed","Completed","2"
"LP-0210-UP","PRJ-046","570/4A","Keeladi","Sarojini Nagar","Lucknow","Uttar Pradesh","9.57","Residential","Temple Land","26.70708","80.95371","Acquired","Fully Paid","Handover Completed","Completed","5"
"LP-0211-UP","PRJ-046","398/5A","Nallur","Sarojini Nagar","Lucknow","Uttar Pradesh","9.57","Residential","Temple Land","27.01329","81.14071","Acquired","Fully Paid","Handover Completed","Completed","2"
"LP-0212-TN","PRJ-047","340/4A","Devikapuram","Guindy","Chennai","Tamil Nadu","19.56","Commercial","Temple Land","13.00728","80.36819","Acquired","Fully Paid","Handover Completed","In Progress","2"
"LP-0213-TN","PRJ-047","70/6B","Devikapuram","Guindy","Chennai","Tamil Nadu","19.56","Commercial","Government","13.04441","80.3771","Notified","Assessed","Pending","Eligible","5"
"LP-0214-TN","PRJ-047","198/8A","Manamadurai","Guindy","Chennai","Tamil Nadu","19.56","Commercial","Temple Land","13.25758","80.19544","Notified","Assessed","Pending","Eligible","1"
"LP-0215-TN","PRJ-047","360/2B","Kottur","Guindy","Chennai","Tamil Nadu","19.56","Residential","Wakf","13.06778","80.37895","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0216-TN","PRJ-047","238/1B","Melmaruvathur","Guindy","Chennai","Tamil Nadu","19.56","Dry Land","Wakf","13.02572","80.28552","Acquired","Fully Paid","Handover Completed","In Progress","1"
"LP-0217-MH","PRJ-048","409/2B","Manamadurai","Haveli","Pune","Maharashtra","19.33","Residential","Inam","18.52515","73.95336","Proposed","Not Started","Pending","Eligible","5"
"LP-0218-MH","PRJ-048","198/7B","Sulthanpet","Haveli","Pune","Maharashtra","19.33","Dry Land","Government","18.42537","73.73004","Notified","Assessed","Pending","Eligible","5"
"LP-0219-MH","PRJ-048","474/6A","Keeladi","Haveli","Pune","Maharashtra","19.33","Commercial","Wakf","18.34834","73.95508","Pending","Not Started","Pending","Eligible","2"
"LP-0220-TN","PRJ-049","272/3A","Thenkudi","Guindy","Chennai","Tamil Nadu","13.8","Garden Land","Government","12.99339","80.40895","Disputed","Not Started","Pending","Eligible","3"
"LP-0221-TN","PRJ-049","520/3A","Keezhkattalai","Guindy","Chennai","Tamil Nadu","13.8","Dry Land","Assigned","12.93085","80.26975","Notified","Assessed","Pending","Eligible","4"
"LP-0222-TN","PRJ-049","414/4B","Kottur","Guindy","Chennai","Tamil Nadu","13.8","Commercial","Wakf","12.96464","80.31764","Notified","Assessed","Pending","Eligible","2"
"LP-0223-TN","PRJ-049","451/6A","Therkku Poigainallur","Guindy","Chennai","Tamil Nadu","13.8","Garden Land","Government","13.09864","80.31776","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0224-TN","PRJ-050","568/2A","Pazhaverkadu","Coimbatore North","Coimbatore","Tamil Nadu","15.47","Garden Land","Assigned","10.99768","76.88809","Acquired","Fully Paid","Handover Completed","In Progress","4"
"LP-0225-TN","PRJ-050","426/5A","Nallur","Coimbatore North","Coimbatore","Tamil Nadu","15.47","Poramboke","Wakf","11.05904","77.07231","Acquired","Fully Paid","Handover Completed","In Progress","5"
"LP-0226-TN","PRJ-050","515/6B","Keezhkattalai","Coimbatore North","Coimbatore","Tamil Nadu","15.47","Wetland","Government","10.91599","76.94058","Acquired","Fully Paid","Handover Completed","In Progress","1"
"LP-0227-TN","PRJ-050","210/7A","Alampatti","Coimbatore North","Coimbatore","Tamil Nadu","15.47","Dry Land","Government","10.968","77.05491","Acquired","Fully Paid","Handover Completed","In Progress","2"
"LP-0228-TN","PRJ-050","20/5A","Keezhkattalai","Coimbatore North","Coimbatore","Tamil Nadu","15.47","Residential","Inam","10.84899","76.98723","Acquired","Fully Paid","Handover Completed","In Progress","3"
"LP-0229-TN","PRJ-050","157/8A","Nallur","Coimbatore North","Coimbatore","Tamil Nadu","15.47","Poramboke","Government","10.92787","76.85276","Acquired","Fully Paid","Handover Completed","In Progress","2"
