"id","projectId","stage","plannedDate","actualDate","authority","status","delayDays","remarks"
"MS-00240","PRJ-027","Compensation","2025-07-11","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00241","PRJ-027","Possession","2025-07-11","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00242","PRJ-027","R&R","2025-07-11","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00243","PRJ-027","Completion","2025-07-11","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00244","PRJ-028","Proposal","2025-03-10","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00245","PRJ-028","Scrutiny","2025-03-10","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00246","PRJ-028","Approval","2025-03-10","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00247","PRJ-028","Notification","2025-03-10","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00248","PRJ-028","Award","2025-03-10","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00249","PRJ-028","Compensation","2025-03-10","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00250","PRJ-028","Possession","2025-03-10","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00251","PRJ-028","R&R","2025-03-10","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00252","PRJ-028","Completion","2025-03-10","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00253","PRJ-029","Proposal","2025-10-05","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00254","PRJ-029","Scrutiny","2025-10-05","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00255","PRJ-029","Approval","2025-10-05","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00256","PRJ-029","Notification","2025-10-05","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00257","PRJ-029","Award","2025-10-05","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00258","PRJ-029","Compensation","2025-10-05","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00259","PRJ-029","Possession","2025-10-05","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00260","PRJ-029","R&R","2025-10-05","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00261","PRJ-029","Completion","2025-10-05","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00262","PRJ-030","Proposal","2025-12-15","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00263","PRJ-030","Scrutiny","2025-12-15","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00264","PRJ-030","Approval","2025-12-15","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00265","PRJ-030","Notification","2025-12-15","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00266","PRJ-030","Award","2025-12-15",,"Land Acquisition Officer","In Progress","0","Active statutory stage."
"MS-00267","PRJ-030","Compensation","2025-12-15",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00268","PRJ-030","Possession","2025-12-15",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00269","PRJ-030","R&R","2025-12-15",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00270","PRJ-030","Completion","2025-12-15",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00271","PRJ-031","Proposal","2025-09-04","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00272","PRJ-031","Scrutiny","2025-09-04","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00273","PRJ-031","Approval","2025-09-04","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00274","PRJ-031","Notification","2025-09-04","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00275","PRJ-031","Award","2025-09-04","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00276","PRJ-031","Compensation","2025-09-04","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00277","PRJ-031","Possession","2025-09-04","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00278","PRJ-031","R&R","2025-09-04",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00279","PRJ-031","Completion","2025-09-04",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00280","PRJ-032","Proposal","2025-03-17","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00281","PRJ-032","Scrutiny","2025-03-17","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00282","PRJ-032","Approval","2025-03-17","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00283","PRJ-032","Notification","2025-03-17","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00284","PRJ-032","Award","2025-03-17","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00285","PRJ-032","Compensation","2025-03-17",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00286","PRJ-032","Possession","2025-03-17",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00287","PRJ-032","R&R","2025-03-17",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00288","PRJ-032","Completion","2025-03-17",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00289","PRJ-033","Proposal","2025-06-03","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00290","PRJ-033","Scrutiny","2025-06-03","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00291","PRJ-033","Approval","2025-06-03",,"State Government","In Progress","0","Active statutory stage."
"MS-00292","PRJ-033","Notification","2025-06-03",,"Central Ministry","Pending","0","Scheduled as per project implementation plan."
"MS-00293","PRJ-033","Award","2025-06-03",,"Land Acquisition Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00294","PRJ-033","Compensation","2025-06-03",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00295","PRJ-033","Possession","2025-06-03",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00296","PRJ-033","R&R","2025-06-03",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00297","PRJ-033","Completion","2025-06-03",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00298","PRJ-034","Proposal","2025-05-24","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00299","PRJ-034","Scrutiny","2025-05-24","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00300","PRJ-034","Approval","2025-05-24","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00301","PRJ-034","Notification","2025-05-24","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00302","PRJ-034","Award","2025-05-24","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00303","PRJ-034","Compensation","2025-05-24","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00304","PRJ-034","Possession","2025-05-24","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00305","PRJ-034","R&R","2025-05-24",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00306","PRJ-034","Completion","2025-05-24",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00307","PRJ-035","Proposal","2025-03-27","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00308","PRJ-035","Scrutiny","2025-03-27","2025-10-15","District Authority","Delayed","57","Delayed by 57 days during inter-departmental verification."
"MS-00309","PRJ-035","Approval","2025-03-27","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00310","PRJ-035","Notification","2025-03-27","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00311","PRJ-035","Award","2025-03-27","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00312","PRJ-035","Compensation","2025-03-27","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00313","PRJ-035","Possession","2025-03-27",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00314","PRJ-035","R&R","2025-03-27",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00315","PRJ-035","Completion","2025-03-27",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00316","PRJ-036","Proposal","2025-07-04","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00317","PRJ-036","Scrutiny","2025-07-04","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00318","PRJ-036","Approval","2025-07-04","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00319","PRJ-036","Notification","2025-07-04","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00320","PRJ-036","Award","2025-07-04","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00321","PRJ-036","Compensation","2025-07-04","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00322","PRJ-036","Possession","2025-07-04","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00323","PRJ-036","R&R","2025-07-04",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00324","PRJ-036","Completion","2025-07-04",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00325","PRJ-037","Proposal","2025-10-12","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00326","PRJ-037","Scrutiny","2025-10-12","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00327","PRJ-037","Approval","2025-10-12","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00328","PRJ-037","Notification","2025-10-12","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00329","PRJ-037","Award","2025-10-12","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00330","PRJ-037","Compensation","2025-10-12","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00331","PRJ-037","Possession","2025-10-12","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00332","PRJ-037","R&R","2025-10-12",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00333","PRJ-037","Completion","2025-10-12",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00334","PRJ-038","Proposal","2025-08-08","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00335","PRJ-038","Scrutiny","2025-08-08","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00336","PRJ-038","Approval","2025-08-08","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00337","PRJ-038","Notification","2025-08-08","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00338","PRJ-038","Award","2025-08-08","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00339","PRJ-038","Compensation","2025-08-08","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00340","PRJ-038","Possession","2025-08-08","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00341","PRJ-038","R&R","2025-08-08",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00342","PRJ-038","Completion","2025-08-08",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00343","PRJ-039","Proposal","2025-03-10","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00344","PRJ-039","Scrutiny","2025-03-10","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00345","PRJ-039","Approval","2025-03-10","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00346","PRJ-039","Notification","2025-03-10","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00347","PRJ-039","Award","2025-03-10","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00348","PRJ-039","Compensation","2025-03-10","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00349","PRJ-039","Possession","2025-03-10","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00350","PRJ-039","R&R","2025-03-10","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00351","PRJ-039","Completion","2025-03-10","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00352","PRJ-040","Proposal","2025-02-16","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00353","PRJ-040","Scrutiny","2025-02-16","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00354","PRJ-040","Approval","2025-02-16",,"State Government","In Progress","0","Active statutory stage."
"MS-00355","PRJ-040","Notification","2025-02-16",,"Central Ministry","Pending","0","Scheduled as per project implementation plan."
"MS-00356","PRJ-040","Award","2025-02-16",,"Land Acquisition Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00357","PRJ-040","Compensation","2025-02-16",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00358","PRJ-040","Possession","2025-02-16",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00359","PRJ-040","R&R","2025-02-16",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00360","PRJ-040","Completion","2025-02-16",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00361","PRJ-041","Proposal","2025-04-04","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00362","PRJ-041","Scrutiny","2025-04-04","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00363","PRJ-041","Approval","2025-04-04","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00364","PRJ-041","Notification","2025-04-04","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00365","PRJ-041","Award","2025-04-04","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00366","PRJ-041","Compensation","2025-04-04","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00367","PRJ-041","Possession","2025-04-04","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00368","PRJ-041","R&R","2025-04-04",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00369","PRJ-041","Completion","2025-04-04",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00370","PRJ-042","Proposal","2025-08-26","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00371","PRJ-042","Scrutiny","2025-08-26","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00372","PRJ-042","Approval","2025-08-26","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00373","PRJ-042","Notification","2025-08-26","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00374","PRJ-042","Award","2025-08-26","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00375","PRJ-042","Compensation","2025-08-26","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00376","PRJ-042","Possession","2025-08-26","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00377","PRJ-042","R&R","2025-08-26",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00378","PRJ-042","Completion","2025-08-26",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00379","PRJ-043","Proposal","2025-07-23","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00380","PRJ-043","Scrutiny","2025-07-23","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00381","PRJ-043","Approval","2025-07-23","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00382","PRJ-043","Notification","2025-07-23","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00383","PRJ-043","Award","2025-07-23","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00384","PRJ-043","Compensation","2025-07-23","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00385","PRJ-043","Possession","2025-07-23","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00386","PRJ-043","R&R","2025-07-23","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00387","PRJ-043","Completion","2025-07-23","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00388","PRJ-044","Proposal","2025-08-06","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00389","PRJ-044","Scrutiny","2025-08-06","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00390","PRJ-044","Approval","2025-08-06","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00391","PRJ-044","Notification","2025-08-06","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00392","PRJ-044","Award","2025-08-06","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00393","PRJ-044","Compensation","2025-08-06",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00394","PRJ-044","Possession","2025-08-06",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00395","PRJ-044","R&R","2025-08-06",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00396","PRJ-044","Completion","2025-08-06",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00397","PRJ-045","Proposal","2025-12-07","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00398","PRJ-045","Scrutiny","2025-12-07","2025-10-15","District Authority","Delayed","33","Delayed by 33 days during inter-departmental verification."
"MS-00399","PRJ-045","Approval","2025-12-07","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00400","PRJ-045","Notification","2025-12-07","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00401","PRJ-045","Award","2025-12-07",,"Land Acquisition Officer","In Progress","0","Active statutory stage."
"MS-00402","PRJ-045","Compensation","2025-12-07",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00403","PRJ-045","Possession","2025-12-07",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00404","PRJ-045","R&R","2025-12-07",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00405","PRJ-045","Completion","2025-12-07",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00406","PRJ-046","Proposal","2025-02-08","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00407","PRJ-046","Scrutiny","2025-02-08","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00408","PRJ-046","Approval","2025-02-08","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00409","PRJ-046","Notification","2025-02-08","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00410","PRJ-046","Award","2025-02-08","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00411","PRJ-046","Compensation","2025-02-08","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00412","PRJ-046","Possession","2025-02-08","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00413","PRJ-046","R&R","2025-02-08","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00414","PRJ-046","Completion","2025-02-08","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00415","PRJ-047","Proposal","2025-04-10","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00416","PRJ-047","Scrutiny","2025-04-10","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00417","PRJ-047","Approval","2025-04-10","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00418","PRJ-047","Notification","2025-04-10","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00419","PRJ-047","Award","2025-04-10","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00420","PRJ-047","Compensation","2025-04-10",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00421","PRJ-047","Possession","2025-04-10",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00422","PRJ-047","R&R","2025-04-10",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00423","PRJ-047","Completion","2025-04-10",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00424","PRJ-048","Proposal","2025-10-16","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00425","PRJ-048","Scrutiny","2025-10-16","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00426","PRJ-048","Approval","2025-10-16","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00427","PRJ-048","Notification","2025-10-16","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00428","PRJ-048","Award","2025-10-16",,"Land Acquisition Officer","In Progress","0","Active statutory stage."
"MS-00429","PRJ-048","Compensation","2025-10-16",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00430","PRJ-048","Possession","2025-10-16",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00431","PRJ-048","R&R","2025-10-16",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00432","PRJ-048","Completion","2025-10-16",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00433","PRJ-049","Proposal","2025-09-11","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00434","PRJ-049","Scrutiny","2025-09-11","2025-10-15","District Authority","Delayed","58","Delayed by 58 days during inter-departmental verification."
"MS-00435","PRJ-049","Approval","2025-09-11","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00436","PRJ-049","Notification","2025-09-11","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00437","PRJ-049","Award","2025-09-11","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00438","PRJ-049","Compensation","2025-09-11","2025-10-15","R&R Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00439","PRJ-049","Possession","2025-09-11",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00440","PRJ-049","R&R","2025-09-11",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00441","PRJ-049","Completion","2025-09-11",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00442","PRJ-050","Proposal","2025-08-10","2025-10-15","PWD Agency","Completed","0","Scheduled as per project implementation plan."
"MS-00443","PRJ-050","Scrutiny","2025-08-10","2025-10-15","District Authority","Completed","0","Scheduled as per project implementation plan."
"MS-00444","PRJ-050","Approval","2025-08-10","2025-10-15","State Government","Completed","0","Scheduled as per project implementation plan."
"MS-00445","PRJ-050","Notification","2025-08-10","2025-10-15","Central Ministry","Completed","0","Scheduled as per project implementation plan."
"MS-00446","PRJ-050","Award","2025-08-10","2025-10-15","Land Acquisition Officer","Completed","0","Scheduled as per project implementation plan."
"MS-00447","PRJ-050","Compensation","2025-08-10",,"R&R Officer","In Progress","0","Active statutory stage."
"MS-00448","PRJ-050","Possession","2025-08-10",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00449","PRJ-050","R&R","2025-08-10",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
"MS-00450","PRJ-050","Completion","2025-08-10",,"R&R Officer","Pending","0","Scheduled as per project implementation plan."
